place	type	shape	syllables	CVC	size	citation	possessive	back	high	round
COR	voiced	CVCC	mono	big	CVCC	serd	serdim	0	0	0
COR	voiced	CVCC	mono	big	CVCC	lord	lordum	1	0	1
COR	voiceless	CVCC	mono	big	CVCC	ʤart	ʤartɯm	1	0	0
COR	voiceless	CVCC	mono	big	CVCC	hart	hartɯm	1	0	0
COR	voiceless	CVCC	mono	big	CVCC	kart	kartɯm	1	0	0
COR	voiceless	CVCC	mono	big	CVCC	mart	martɯm	1	0	0
COR	voiceless	CVCC	mono	big	CVCC	ʃart	ʃartɯm	1	0	0
COR	voiceless	CVCC	mono	big	CVCC	tart	tartɯm	1	0	0
COR	voiceless	CVCC	mono	big	CVCC	zart	zartɯm	1	0	0
COR	voiceless	CVCC	mono	big	CVCC	sert	sertim	0	0	0
COR	voiceless	CVCC	mono	big	CVCC	fɯrt	fɯrtɯm	1	1	0
COR	voiceless	CVCC	mono	big	CVCC	hɯrt	hɯrtɯm	1	1	0
COR	voiceless	CVCC	mono	big	CVCC	sɯrt	sɯrtɯm	1	1	0
COR	voiceless	CVCC	mono	big	CVCC	zɯrt	zɯrtɯm	1	1	0
COR	voiceless	CVCC	mono	big	CVCC	kort	kortum	1	0	1
COR	voiceless	CVCC	mono	big	CVCC	ʃort	ʃortum	1	0	1
COR	alternating	VCC	mono	big	CVCC	art	ardɯm	1	0	0
COR	voiceless	CVCC	mono	big	CVCC	rapt	raptɯm	1	0	0
COR	voiceless	CVCC	mono	big	CVCC	zapt	zaptɯm	1	0	0
COR	alternating	CVCC	mono	big	CVCC	bant	bandɯm	1	0	0
COR	alternating	CVCC	mono	big	CVCC	hint	hindim	0	1	0
COR	alternating	CVCC	mono	big	CVCC	rint	rindim	0	1	0
COR	vacillator	CVCC	mono	big	CVCC	bent	bentim bendim	0	0	0
COR	voiced	CVCC	mono	big	CVCC	fend	fendim	0	0	0
COR	voiced	CVCC	mono	big	CVCC	pund	pundum	1	1	1
COR	voiceless	CVCC	mono	big	CVCC	ʒant	ʒantɯm	1	0	0
