speaker,word,C1,V,C2,F2C1,F2V,F2C2,dur b-m,duration,rate,,,
BC,dab,d,a,b,1476.5625,1054.6875,1026.5625,0.10744,0.202172,normal,,,
BC,dab,d,a,b,1532.8125,956.25,1012.5,0.100509,0.201017,normal,,,
BC,dab,d,a,b,1504.6875,984.375,1026.5625,0.116683,0.220657,normal,,,
BC,dad,d,a,d,1532.8125,998.4375,1265.625,0.124769,0.240296,normal,,,
BC,dad,d,a,d,1406.25,1012.5,1350,0.10744,0.229898,normal,,,
BC,dad,d,a,d,1560.9375,1012.5,1265.625,0.142098,0.276109,normal,,,
BC,dad,d,a,d,1448.4375,1082.8125,1265.625,0.115527,0.229898,normal,,,
BC,dad,d,a,d,1560.9375,1068.75,1279.6875,0.117837,0.231054,normal,,,
BC,dad,d,a,d,1504.6875,1040.625,1251.5625,0.10744,0.207949,normal,,,
BC,dag,d,a,g,1293.75,928.125,1265.625,0.103975,0.219502,normal,,,
BC,dag,d,a,g,1532.8125,1026.5625,1139.0625,0.118228,0.237604,normal,,,
BC,dag,d,a,g,1448.4375,1026.5625,1167.1875,0.10744,0.222967,normal,,,
BC,dag,d,a,g,1462.5,1012.5,1307.8125,0.117838,0.23221,normal,,,
BC,dag,d,a,g,1476.5625,956.25,1181.25,0.123614,0.239141,normal,,,
BC,dag,d,a,g,1462.5,970.3125,1237.5,0.114372,0.222967,normal,,,
BC,deb,d,e,b,1575,1518.75,1181.25,0.073937,0.155961,normal,,,
BC,deb,d,e,b,1631.25,1504.6875,1195.3125,0.078053,0.144628,normal,,,
BC,deb,d,e,b,1603.125,1476.5625,1181.25,0.073937,0.154806,normal,,,
BC,deb,d,e,b,1617.1875,1518.75,1195.3125,0.076248,0.15134,normal,,,
BC,deb,d,e,b,1603.125,1532.8125,1195.3125,0.071627,0.143253,normal,,,
BC,deb,d,e,b,1631.25,1532.8125,1265.625,0.083179,0.153651,normal,,,
BC,ded,d,e,d,1631.25,1560.9375,1532.8125,0.082024,0.166359,normal,,,
BC,ded,d,e,d,1617.1875,1617.1875,1392.1875,0.078053,0.157254,normal,,,
BC,ded,d,e,d,1631.25,1603.125,1532.8125,0.0878,0.180222,normal,,,
BC,ded,d,e,d,1645.3125,1659.375,1532.8125,0.087801,0.180222,normal,,,
BC,ded,d,e,d,1589.0625,1560.9375,1532.8125,0.082024,0.169825,normal,,,
BC,ded,d,e,d,1603.125,1617.1875,1490.625,0.088956,0.162893,normal,,,
BC,deg,d,e,g,1701.5625,1532.8125,1715.625,0.084335,0.165204,normal,,,
BC,deg,d,e,g,1617.1875,1490.625,1743.75,0.078053,0.171028,normal,,,
BC,deg,d,e,g,1603.125,1532.8125,1771.875,0.079713,0.168669,normal,,,
BC,deg,d,e,g,1631.25,1575,1800,0.084334,0.174445,normal,,,
BC,deg,d,e,g,1603.125,1504.6875,1729.6875,0.093577,0.201017,normal,,,
BC,deg,d,e,g,1617.1875,1560.9375,1645.3125,0.091266,0.181377,normal,,,
BC,dib,d,i,b,1743.75,2123.4375,1434.375,0.084335,0.16867,normal,,,
BC,dib,d,i,b,1856.25,2109.375,1378.125,0.092975,0.173324,normal,,,
BC,dib,d,i,b,1771.875,2039.0625,1785.9375,0.100509,0.185999,normal,,,
BC,dib,d,i,b,1771.875,2039.0625,1560.9375,0.088956,0.165204,normal,,,
BC,dib,d,i,b,1757.8125,1968.75,1743.75,0.086646,0.167515,normal,,,
BC,dib,d,i,b,1898.4375,2109.375,1617.1875,0.073937,0.166359,normal,,,
BC,did,d,i,d,1870.3125,2081.25,1828.125,0.090111,0.19293,normal,,,
BC,did,d,i,d,1870.3125,2053.125,1954.6875,0.095271,0.18136,normal,,,
BC,did,d,i,d,1757.8125,2039.0625,1884.375,0.088955,0.182532,normal,,,
BC,did,d,i,d,1785.9375,2053.125,1968.75,0.094732,0.182533,normal,,,
BC,did,d,i,d,1785.9375,2039.0625,1884.375,0.093577,0.187154,normal,,,
BC,did,d,i,d,1814.0625,2095.3125,1884.375,0.082025,0.16867,normal,,,
BC,dig,d,i,g,1729.6875,1940.625,2109.375,0.071627,0.158272,normal,,,
BC,dig,d,i,g,1771.875,1982.8125,2039.0625,0.08494,0.152342,normal,,,
BC,dig,d,i,g,1842.1875,2025,2123.4375,0.078558,0.17329,normal,,,
BC,dig,d,i,g,1814.0625,2025,2095.3125,0.091267,0.177912,normal,,,
BC,dig,d,i,g,1729.6875,1954.6875,1982.8125,0.080869,0.16867,normal,,,
BC,dig,d,i,g,1856.25,2025,2067.1875,0.087801,0.173291,normal,,,
BC,dub,d,u,b,1659.375,1476.5625,956.25,0.08549,0.174446,normal,,,
BC,dub,d,u,b,1645.3125,1420.3125,998.4375,0.086088,0.173324,normal,,,
BC,dub,d,u,b,1687.5,1532.8125,1110.9375,0.080869,0.165203,normal,,,
BC,dub,d,u,b,1687.5,1575,1096.875,0.090111,0.182532,normal,,,
BC,dub,d,u,b,1631.25,1532.8125,1082.8125,0.082024,0.174445,normal,,,
BC,dub,d,u,b,1631.25,1546.875,998.4375,0.088955,0.189464,normal,,,
BC,dud,d,u,d,1589.0625,1364.0625,1546.875,0.091267,0.184843,normal,,,
BC,dud,d,u,d,1729.6875,1237.5,1476.5625,0.12741,0.211203,normal,,,
BC,dud,d,u,d,1729.6875,1223.4375,1293.75,0.121304,0.205638,normal,,,
BC,dud,d,u,d,1701.5625,1364.0625,1518.75,0.124769,0.194086,normal,,,
BC,dud,d,u,d,1715.625,1139.0625,1532.8125,0.134011,0.195241,normal,,,
BC,dud,d,u,d,1701.5625,1462.5,1251.5625,0.100508,0.205638,normal,,,
BC,dug,d,u,g,1631.25,1434.375,998.4375,0.091267,0.188309,normal,,,
BC,dug,d,u,g,1687.5,1448.4375,1082.8125,0.082645,0.188246,normal,,,
BC,dug,d,u,g,1701.5625,1532.8125,1110.9375,0.095887,0.189464,normal,,,
BC,dug,d,u,g,1673.4375,1307.8125,1026.5625,0.090111,0.179067,normal,,,
BC,dug,d,u,g,1589.0625,1251.5625,1110.9375,0.088956,0.183688,normal,,,
BC,dug,d,u,g,1617.1875,1195.3125,1082.8125,0.092422,0.180222,normal,,,
BC,gab,g,a,b,1701.5625,1012.5,984.375,0.101663,0.206793,normal,,,
BC,gab,g,a,b,1673.4375,1040.625,956.25,0.106284,0.211414,normal,,,
BC,gab,g,a,b,1603.125,1012.5,1012.5,0.120148,0.211414,normal,,,
BC,gab,g,a,b,1673.4375,984.375,1026.5625,0.100509,0.195241,normal,,,
BC,gab,g,a,b,1617.1875,1026.5625,1012.5,0.106285,0.21257,normal,,,
BC,gab,g,a,b,1631.25,1012.5,1096.875,0.10513,0.21257,normal,,,
BC,gad,g,a,d,1603.125,1026.5625,1265.625,0.106285,0.219502,normal,,,
BC,gad,g,a,d,1729.6875,1054.6875,1350,0.110906,0.224122,normal,,,
BC,gad,g,a,d,1701.5625,1068.75,1392.1875,0.108596,0.211415,normal,,,
BC,gad,g,a,d,1757.8125,1012.5,1251.5625,0.110906,0.228743,normal,,,
BC,gad,g,a,d,1687.5,1068.75,1293.75,0.125925,0.23683,normal,,,
BC,gad,g,a,d,1603.125,1012.5,1335.9375,0.10513,0.203328,normal,,,
BC,gag,g,a,g,1560.9375,956.25,1251.5625,0.114372,0.233365,normal,,,
BC,gag,g,a,g,1687.5,1012.5,1237.5,0.109045,0.236455,normal,,,
BC,gag,g,a,g,1589.0625,956.25,1195.3125,0.124769,0.251849,normal,,,
BC,gag,g,a,g,1701.5625,998.4375,1265.625,0.106285,0.219502,normal,,,
BC,gag,g,a,g,1504.6875,1026.5625,1181.25,0.097043,0.216035,normal,,,
BC,gag,g,a,g,1631.25,998.4375,1139.0625,0.109751,0.206794,normal,,,
BC,geb,g,e,b,1870.3125,1589.0625,1082.8125,0.075093,0.143254,normal,,,
BC,geb,g,e,b,1898.4375,1617.1875,1195.3125,0.071167,0.142333,normal,,,
BC,geb,g,e,b,1884.375,1504.6875,1181.25,0.071626,0.134011,normal,,,
BC,geb,g,e,b,1856.25,1532.8125,1110.9375,0.070471,0.137477,normal,,,
BC,geb,g,e,b,1856.25,1575,1223.4375,0.070471,0.138632,normal,,,
BC,geb,g,e,b,1785.9375,1518.75,1096.875,0.070471,0.142098,normal,,,
BC,ged,g,e,d,1884.375,1603.125,1448.4375,0.067006,0.138632,normal,,,
BC,ged,g,e,d,1898.4375,1645.3125,1518.75,0.076905,0.152663,normal,,,
BC,ged,g,e,d,1926.5625,1673.4375,1560.9375,0.087801,0.172136,normal,,,
BC,ged,g,e,d,1870.3125,1617.1875,1518.75,0.076248,0.152495,normal,,,
BC,ged,g,e,d,1842.1875,1532.8125,1800,0.087801,0.176757,normal,,,
BC,ged,g,e,d,1884.375,1603.125,1490.625,0.080869,0.161738,normal,,,
BC,geg,g,e,g,1785.9375,1504.6875,1785.9375,0.080869,0.161738,normal,,,
BC,geg,g,e,g,1870.3125,1589.0625,1800,0.072314,0.150367,normal,,,
BC,geg,g,e,g,1828.125,1504.6875,1814.0625,0.077403,0.166359,normal,,,
BC,geg,g,e,g,1898.4375,1603.125,1800,0.084335,0.182533,normal,,,
BC,geg,g,e,g,1842.1875,1617.1875,1870.3125,0.077403,0.162893,normal,,,
BC,geg,g,e,g,1968.75,1532.8125,1785.9375,0.065851,0.14903,normal,,,
BC,gib,g,i,b,1926.5625,2039.0625,1673.4375,0.082024,0.166359,normal,,,
BC,gib,g,i,b,1996.875,2053.125,1800,0.083792,0.162993,normal,,,
BC,gib,g,i,b,2039.0625,2123.4375,1406.25,0.079713,0.162893,normal,,,
BC,gib,g,i,b,1884.375,2025,1448.4375,0.090111,0.168669,normal,,,
BC,gib,g,i,b,1968.75,1982.8125,1575,0.076247,0.162893,normal,,,
BC,gib,g,i,b,1968.75,2039.0625,1181.25,0.099353,0.19293,normal,,,
BC,gid,g,i,d,1954.6875,2109.375,1870.3125,0.097043,0.195241,normal,,,
BC,gid,g,i,d,1948.026316,2053.125,1842.1875,0.082644,0.166437,normal,,,
BC,gid,g,i,d,2039.0625,2095.3125,1982.8125,0.075093,0.176756,normal,,,
BC,gid,g,i,d,2044.736842,2053.125,1940.625,0.095888,0.177912,normal,,,
BC,gid,g,i,d,2039.0625,2039.0625,1870.3125,0.101664,0.19062,normal,,,
BC,gid,g,i,d,2030.921053,2010.9375,1898.4375,0.088955,0.184843,normal,,,
BC,gig,g,i,g,1968.75,1968.75,2095.3125,0.077403,0.176756,normal,,,
BC,gig,g,i,g,1940.625,2053.125,2207.8125,0.079201,0.173324,normal,,,
BC,gig,g,i,g,1968.75,1954.6875,2123.4375,0.078558,0.158272,normal,,,
BC,gig,g,i,g,1989.473684,1968.75,2109.375,0.087801,0.197551,normal,,,
BC,gig,g,i,g,2010.9375,2039.0625,2137.5,0.084334,0.166358,normal,,,
BC,gig,g,i,g,1954.6875,1954.6875,2123.4375,0.075093,0.161738,normal,,,
BC,gub,g,u,b,1617.1875,1110.9375,956.25,0.077403,0.160583,normal,,,
BC,gub,g,u,b,1659.375,1139.0625,914.0625,0.095271,0.175619,normal,,,
BC,gub,g,u,b,1617.1875,1181.25,998.4375,0.080869,0.167514,normal,,,
BC,gub,g,u,b,1842.1875,1251.5625,1012.5,0.088956,0.17329,normal,,,
BC,gub,g,u,b,1532.8125,1167.1875,984.375,0.077403,0.169825,normal,,,
BC,gub,g,u,b,1532.8125,1153.125,928.125,0.08549,0.167514,normal,,,
BC,gud,g,u,d,1532.8125,1223.4375,1434.375,0.06123,0.136322,normal,,,
BC,gud,g,u,d,1279.6875,1139.0625,1504.6875,0.081496,0.154958,normal,,,
BC,gud,g,u,d,1392.1875,1181.25,1546.875,0.071626,0.144408,normal,,,
BC,gud,g,u,d,1462.5,1195.3125,1603.125,0.071627,0.150185,normal,,,
BC,gud,g,u,d,1395.394737,1110.9375,1546.875,0.050832,0.181377,normal,,,
BC,gud,g,u,d,1279.6875,1181.25,1575,0.071627,0.153651,normal,,,
BC,gug,g,u,g,1378.125,1096.875,1181.25,0.069317,0.139788,normal,,,
BC,gug,g,u,g,1518.75,1181.25,1026.5625,0.102158,0.185951,normal,,,
BC,gug,g,u,g,1687.5,1209.375,1096.875,0.080869,0.183688,normal,,,
BC,gug,g,u,g,1223.4375,1026.5625,1181.25,0.079713,0.159427,normal,,,
BC,gug,g,u,g,1532.8125,1181.25,1026.5625,0.103974,0.189464,normal,,,
BC,gug,g,u,g,1434.375,1237.5,1082.8125,0.069316,0.143254,normal,,,
CC,bab,b,a,b,1206.632653,1332.908163,1392.230576,0.132856,0.264557,normal,,,
CC,bab,b,a,b,1276.785714,1346.938776,1447.368421,0.115527,0.255405,normal,,,
CC,bab,b,a,b,1262.755102,1276.785714,1323.308271,0.106282,0.212131,normal,,,
CC,bab,b,a,b,1178.571429,1262.755102,1433.58396,0.120148,0.265066,normal,,,
CC,bab,b,a,b,1234.693878,1262.755102,1406.015038,0.114372,0.234326,normal,,,
CC,bab,b,a,b,1199.24812,1276.785714,1433.58396,0.113216,0.238497,normal,,,
CC,bad,b,a,d,1226.817043,1276.785714,2026.315789,0.103974,0.253004,normal,,,
CC,bad,b,a,d,1192.602041,1220.663265,1888.471178,0.094732,0.281977,normal,,,
CC,bad,b,a,d,1248.72449,1262.755102,1957.393484,0.134585,0.307442,normal,,,
CC,bad,b,a,d,1136.479592,1206.632653,1791.97995,0.131701,0.310122,normal,,,
CC,bad,b,a,d,1094.387755,1248.72449,1778.195489,0.124769,0.271295,normal,,,
CC,bad,b,a,d,1192.602041,1248.72449,1778.195489,0.129391,0.275466,normal,,,
CC,bag,b,a,g,1108.418367,1234.693878,1543.859649,0.120148,0.249538,normal,,,
CC,bag,b,a,g,1122.44898,1248.72449,1433.58396,0.1213,0.252224,normal,,,
CC,bag,b,a,g,1206.632653,1276.785714,1433.58396,0.120722,0.25372,normal,,,
CC,bag,b,a,g,1309.52381,1262.755102,1654.135338,0.118993,0.274309,normal,,,
CC,bag,b,a,g,1213.032581,1178.571429,1516.290727,0.120148,0.251656,normal,,,
CC,bag,b,a,g,1206.632653,1192.602041,1529.336735,0.10513,0.218858,normal,,,
CC,beb,b,e,b,1847.117794,2062.5,1681.704261,0.10744,0.220656,normal,,,
CC,beb,b,e,b,1908.163265,2090.561224,1530.075188,0.099928,0.220454,normal,,,
CC,beb,b,e,b,1936.22449,2062.5,1543.859649,0.080869,0.180375,normal,,,
CC,beb,b,e,b,1957.393484,2399.234694,1571.428571,0.090111,0.202682,normal,,,
CC,beb,b,e,b,1936.22449,2132.653061,1626.566416,0.091266,0.215842,normal,,,
CC,beb,b,e,b,1860.902256,2090.561224,1557.64411,0.069316,0.155318,normal,,,
CC,bed,b,e,d,1950.255102,2216.836735,2067.669173,0.118992,0.242606,normal,,,
CC,bed,b,e,d,2090.561224,2160.714286,1971.177945,0.113213,0.230853,normal,,,
