SNR,position,stimulus,p,t,k,s,h,f,b,d,g,z,v,m,n,r,l,w,j,Null,Other
-8,coda,z,0,0,0,5,NA,0,1,0,1,89,4,0,0,0,0,NA,NA,4,4
-8,coda,m,0,0,0,0,NA,0,1,2,1,1,2,17,44,1,1,NA,NA,39,8
-8,coda,n,0,0,0,0,NA,0,0,2,2,0,4,4,44,0,0,NA,NA,24,19
-8,coda,l,0,1,0,0,NA,0,0,1,1,0,1,1,2,4,84,NA,NA,7,6
-5,coda,p,71,14,7,0,NA,0,0,0,0,0,0,0,0,0,0,NA,NA,2,2
-5,coda,t,4,91,1,0,NA,0,0,0,0,0,0,0,0,0,0,NA,NA,0,0
-5,coda,k,22,7,66,0,NA,0,0,0,0,0,0,0,0,0,0,NA,NA,0,1
-5,coda,s,0,0,0,67,NA,0,0,0,0,20,0,0,0,0,0,NA,NA,0,5
-5,coda,d,0,2,0,0,NA,0,2,79,1,0,0,0,0,0,0,NA,NA,5,7
-5,coda,g,0,0,1,0,NA,0,9,23,40,0,1,2,7,0,0,NA,NA,2,11
-5,coda,z,0,0,0,9,NA,0,0,0,0,90,0,0,0,0,0,NA,NA,1,0
-5,coda,m,1,0,0,0,NA,0,0,1,0,0,0,33,48,0,2,NA,NA,14,5
-5,coda,n,1,0,0,0,NA,0,0,0,0,0,0,2,63,0,0,NA,NA,11,11
-5,coda,l,0,0,0,0,NA,0,0,1,0,0,0,0,0,2,91,NA,NA,2,0
